,Active_Team,Team_Seed,Similarity_Score,Best_Comparison_Team,Best_Comparison_Team_Season,Postseason_Finish
0,Michigan,1,0.11088546290955995,Purdue,2017,3
1,Baylor,1,0.09215904893531877,Purdue,2019,4
2,Illinois,1,0.10677035543974556,Kentucky,2019,4
3,Gonzaga,1,0.12078915690586053,Gonzaga,2019,4
4,Iowa,2,0.12350385893835975,Purdue,2018,3
5,Ohio St.,2,0.13269790477633894,Miami FL,2016,3
6,Houston,2,0.10332365006498855,Louisville,2017,2
7,Alabama,2,0.09384398268800144,Kansas,2019,2
8,West Virginia,3,0.09773438851423778,Providence,2016,2
9,Texas,3,0.16023089886141131,Marquette,2019,1
10,Kansas,3,0.13589415249850578,Texas,2018,1
11,Arkansas,3,0.1528366064279896,Kansas,2019,2
12,Florida St.,4,0.11318417940615759,Mississippi St.,2019,1
13,Virginia,4,0.07323502027873414,Saint Mary's,2017,2
14,Purdue,4,0.13842239257449332,Louisville,2019,1
15,Oklahoma St.,4,0.12380637956044566,Texas A&M,2016,3
16,Villanova,5,0.1223247310131817,Michigan,2016,1
17,Tennessee,5,0.14245072057454747,San Diego St.,2013,2
18,Creighton,5,0.12751534261266767,Iowa St.,2019,1
19,Colorado,5,0.1640005510427773,Miami FL,2018,1
20,Texas Tech,6,0.13773791097276916,Texas Tech,2018,4
21,BYU,6,0.13623421903119945,Ohio St.,2018,2
22,USC,6,0.12582847679737505,Maryland,2019,2
23,San Diego St.,6,0.11785113019775788,Ohio St.,2013,4
24,Florida,7,0.132592880695955,Syracuse,2019,1
25,Connecticut,7,0.12141073279465811,Kansas St.,2013,1
26,Clemson,7,0.11022337355899957,Princeton,2017,1
27,Oregon,7,0.21637116120395758,Miami FL,2018,1
28,Oklahoma,8,0.17241379310344823,Oklahoma,2019,2
29,North Carolina,8,0.09584419961986032,Missouri,2013,1
30,LSU,8,0.12877790154770938,Seton Hall,2018,2
31,Loyola Chicago,8,0.08473055103672039,Loyola Chicago,2018,5
32,St. Bonaventure,9,0.1245821823593386,Miami FL,2017,1
33,Missouri,9,0.13715369551210077,Alabama,2018,2
34,Wisconsin,9,0.1160283329370772,Wisconsin,2019,1
35,Georgia Tech,9,0.1115665712735701,Miami FL,2018,1
36,Rutgers,10,0.12537275449612875,Oregon,2019,3
37,Virginia Tech,10,0.21616885058355842,Ohio St.,2019,2
38,Maryland,10,0.1242547647567997,Northern Iowa,2016,2
39,VCU,10,0.15996417203774593,VCU,2019,1
40,Michigan St.,11,0.11847809009550357,Ohio St.,2019,2
41,Wichita St.,11,0.13094570021973098,Oklahoma,2013,1
42,Syracuse,11,0.12554059619245156,La Salle,2013,3
43,UCLA,11,0.1529975153405261,Villanova,2019,2
44,Utah St.,11,0.09473673713386742,New Mexico St.,2018,1
45,Drake,11,0.11399759467612822,Saint Mary's,2019,1
46,Georgetown,12,0.10223794535529072,Texas A&M,2018,3
47,Oregon St.,12,0.13836937748538888,Oregon St.,2016,1
48,UC Santa Barbara,12,0.22037982136062984,Vermont,2019,1
49,Winthrop,12,0.09065844089438037,New Mexico St.,2018,1
50,Ohio,13,0.11566298639324804,Colgate,2019,1
51,North Texas,13,0.10818558060197896,Oregon,2019,3
52,UNC Greensboro,13,0.10544440933536732,UNC Greensboro,2018,1
53,Liberty,13,0.1315561729939764,Liberty,2019,2
54,Colgate,14,0.09442790643683514,Yale,2019,1
55,Eastern Washington,14,0.14807098447623804,Yale,2019,1
56,Abilene Christian,14,0.08684168428648435,Cal St. Bakersfield,2016,1
57,Morehead St.,14,0.09384811523672708,Albany,2013,1
58,Iona,15,0.09860954752304332,Cal St. Bakersfield,2016,1
59,Oral Roberts,15,0.16563466499998447,Iona,2017,1
60,Grand Canyon,15,0.08578399164447492,New Mexico St.,2018,1
61,Cleveland St.,15,0.10473070393444912,Wofford,2014,1
62,Drexel,16,0.16265001215808894,Colgate,2019,1
63,Mount St. Mary's,16,0.07519009528967122,Radford,2018,1
64,Hartford,16,0.07539925943211077,UMBC,2018,2
65,Norfolk St.,16,0.10611908999450223,Coastal Carolina,2014,1
66,Texas Southern,16,0.10941547732309308,Hampton,2016,1
67,Appalachian St.,16,0.09484319968643412,Radford,2018,1
