,Team,Similarity_Score,Postseason_Finish
0,Michigan,0.08283378607558742,6
1,Baylor,0.06785475116317397,7
2,Illinois,0.09633694903854474,6
3,Gonzaga,0.055102131623696364,7
4,Iowa,0.07690155097191298,6
5,Ohio St.,0.094993664438396,4
6,Houston,0.059600093893029456,5
7,Alabama,0.07075401793645379,5
8,West Virginia,0.08129172152162889,3
9,Texas,0.1325309859071759,2
10,Kansas,0.07482092307404015,2
11,Arkansas,0.09026553399604464,3
12,Florida St.,0.09718434887716636,3
13,Virginia,0.044455464208523296,6
14,Purdue,0.09589968257833988,3
15,Oklahoma St.,0.10188672180569473,2
16,Villanova,0.06464090420486833,3
17,Tennessee,0.09576003478869904,2
18,Creighton,0.061218839112477136,6
19,Colorado,0.09890522366265998,3
20,Texas Tech,0.10258632432644652,2
21,BYU,0.07212910650829751,3
22,USC,0.09058488032777305,3
23,San Diego St.,0.10122998704738023,2
24,Florida,0.11934752489302801,2
25,Connecticut,0.08551388458602512,2
26,Clemson,0.05373690422074132,2
27,Oregon,0.06604875617057519,3
28,Oklahoma,0.062424756656459565,2
29,North Carolina,0.061668496807899174,3
30,LSU,0.0773868076552154,3
31,Loyola Chicago,0.04818081490285714,6
32,St. Bonaventure,0.07839825050926709,2
33,Missouri,0.1192648854724424,2
34,Wisconsin,0.05591886072469285,2
35,Georgia Tech,0.06255359417037852,2
36,Rutgers,0.06939055579893802,2
37,Virginia Tech,0.10118714520310218,2
38,Maryland,0.05836864041910671,2
39,VCU,0.06861334244224004,2
40,Michigan St.,0.07546369366995426,1
41,Wichita St.,0.0863601288157976,1
42,Syracuse,0.06471094426496334,2
43,UCLA,0.08380527792465364,2
44,Utah St.,0.05365467944750239,2
45,Drake,0.05994337048873332,2
46,Georgetown,0.06530767997724012,1
47,Oregon St.,0.08947963855208035,1
48,UC Santa Barbara,0.09455624154420128,1
49,Winthrop,0.07236625281443794,1
50,Ohio,0.06783775219647555,1
51,North Texas,0.06247445482173754,1
52,UNC Greensboro,0.053297359381408,1
53,Liberty,0.04810521194928981,1
54,Colgate,0.05231206304407315,2
55,Eastern Washington,0.06321056196751136,1
56,Abilene Christian,0.059497701716163844,1
57,Morehead St.,0.05691446508479491,1
58,Iona,0.05713370070078808,1
59,Oral Roberts,0.05338431100807657,1
60,Grand Canyon,0.06525037790385783,1
61,Cleveland St.,0.0691235808569369,1
62,Drexel,0.057993807868968204,1
63,Mount St. Mary's,0.04406835579866511,1
64,Hartford,0.047455580767824766,1
65,Norfolk St.,0.06089026144319381,1
66,Texas Southern,0.05480786187769569,1
67,Appalachian St.,0.049067339684966085,1
